Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788897920,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788897921,4,,Aggregated,0.000000,0.000000,94,99,640,640,690,720,720,720,720,720,720,12,0,78,263.74459167709574,21.458899951539934,718.6183000449091,8722.5
1788897922,8,,Aggregated,0.000000,0.000000,80,94,120,130,690,700,720,720,720,720,720,29,3,80,173.6351413901189,21.458899951539934,718.6183000449091,7166.0
1788897923,12,,Aggregated,12.000000,0.000000,81,96,120,130,610,690,720,720,720,720,720,49,16,81,137.3994857196373,20.327099948190153,718.6183000449091,5376.734693877551
1788897924,20,,Aggregated,14.000000,1.500000,78,94,110,130,160,640,700,720,720,720,720,75,37,78,117.38444667464744,20.327099948190153,718.6183000449091,4310.786666666667
1788897925,20,,Aggregated,16.000000,5.000000,78,97,110,120,160,610,700,720,720,720,720,99,56,78,108.74607475037037,20.327099948190153,718.6183000449091,3810.212121212121
1788897926,20,,Aggregated,16.000000,5.000000,68,94,110,120,140,180,690,700,720,720,720,118,70,68,100.56010847792851,20.327099948190153,718.6183000449091,3695.8898305084745
1788897927,20,,Aggregated,19.600000,11.000000,68,93,110,120,160,190,690,700,720,720,720,139,89,68,97.79571726995272,19.18549998663366,718.6183000449091,3364.6978417266187
1788897928,20,,Aggregated,19.666667,11.666667,62,85,99,110,140,180,640,700,720,720,720,157,107,62,89.4989738897806,8.804899989627302,718.6183000449091,3037.292993630573
1788897929,20,,Aggregated,19.000000,11.857143,54,78,96,110,130,180,640,700,720,720,720,180,130,53,80.15976722494491,5.599500029347837,718.6183000449091,2714.233333333333
1788897930,20,,Aggregated,19.125000,12.875000,48,68,87,98,130,160,610,690,720,720,720,202,152,46,72.58209950546504,5.599500029347837,718.6183000449091,2474.059405940594
1788897931,20,,Aggregated,19.888889,14.333333,43,63,84,96,130,160,610,690,720,720,720,224,174,43,67.11799419593133,5.599500029347837,718.6183000449091,2281.0625
1788897932,20,,Aggregated,19.800000,14.800000,41,62,78,89,120,160,610,690,720,720,720,247,197,41,63.32974696365988,5.599500029347837,718.6183000449091,2116.0526315789475
1788897933,20,,Aggregated,20.700000,16.900000,39,59,73,86,120,160,190,690,720,720,720,267,217,39,61.04222547013508,5.599500029347837,718.6183000449091,1995.6741573033707
1788897934,20,,Aggregated,21.200000,18.700000,36,55,70,84,120,150,190,690,720,720,720,283,233,36,58.636577388143344,5.599500029347837,718.6183000449091,1911.6219081272084
1788897935,20,,Aggregated,21.300000,19.600000,32,51,68,81,120,140,190,640,720,720,720,305,255,32,55.83393508492068,5.599500029347837,718.6183000449091,1810.4491803278688
1788897936,20,,Aggregated,20.800000,19.600000,32,50,68,76,110,140,190,640,720,720,720,322,272,32,55.14025745583663,5.599500029347837,718.6183000449091,1741.7391304347825
1788897937,20,,Aggregated,20.200000,19.500000,32,50,66,75,110,130,190,640,720,720,720,341,291,32,54.25662404886253,5.599500029347837,718.6183000449091,1673.0527859237536
1788897938,20,,Aggregated,20.000000,19.800000,32,50,64,72,110,130,180,640,720,720,720,362,312,32,52.926010499484526,5.599500029347837,718.6183000449091,1605.524861878453
1788897939,20,,Aggregated,20.400000,20.400000,31,49,62,71,100,130,180,640,720,720,720,382,332,31,51.77896780312958,5.599500029347837,718.6183000449091,1548.1151832460732
1788897940,20,,Aggregated,20.500000,20.500000,31,49,62,70,100,130,180,640,720,720,720,398,348,31,51.229468343519706,5.599500029347837,718.6183000449091,1506.3417085427136
1788897941,20,,Aggregated,19.400000,19.400000,31,50,64,75,120,150,190,610,720,720,720,419,369,31,53.335398568956265,5.599500029347837,718.6183000449091,1456.3556085918854
1788897942,20,,Aggregated,19.600000,19.600000,30,49,62,72,110,150,190,610,720,720,720,441,391,30,51.710932201161015,5.599500029347837,718.6183000449091,1409.095238095238
